City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,40,7.61,scattered clouds
1,Olafsvik,IS,64.8945,-23.7142,44.96,90,100,19.17,moderate rain
2,Mendi,PG,-6.1761,143.6513,53.42,95,71,4.38,broken clouds
3,Mataura,NZ,-46.1927,168.8643,49.48,97,98,0.98,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,57.9,81,0,4.61,clear sky
5,East London,ZA,-33.0153,27.9116,63.07,76,94,13.02,overcast clouds
6,Tazmalt,DZ,36.3868,4.3989,58.42,70,4,4.36,clear sky
7,Dikson,RU,73.5069,80.5464,23.25,93,100,29.06,light snow
8,Acajutla,SV,13.5928,-89.8275,86.2,67,43,8.3,scattered clouds
9,Thomaston,US,32.8882,-84.3266,73.18,66,100,4.61,overcast clouds
10,Motygino,RU,58.1831,94.7592,25.81,72,69,3.74,broken clouds
11,Beringovskiy,RU,63.05,179.3167,32.54,76,53,11.14,broken clouds
12,Sorland,NO,67.667,12.6934,39.06,97,100,14.03,overcast clouds
13,Atuona,PF,-9.8,-139.0333,78.58,75,1,16.06,clear sky
14,Shache,CN,38.4167,77.2406,72.09,21,0,5.73,clear sky
15,Vaini,TO,-21.2,-175.2,77.16,69,20,10.36,few clouds
16,Mindelo,CV,16.8901,-24.9804,72.95,68,20,20.71,few clouds
17,Jiguani,CU,20.3667,-76.4272,89.38,58,58,7.58,broken clouds
18,Taoudenni,ML,22.6783,-3.9836,88.63,7,46,11.18,scattered clouds
19,Stabat,ID,3.761,98.4513,80.8,98,100,2.55,overcast clouds
20,La Ronge,CA,55.1001,-105.2842,52.05,32,75,16.11,broken clouds
21,New Norfolk,AU,-42.7826,147.0587,41.72,81,45,2.66,scattered clouds
22,Nara,JP,34.6851,135.8049,56.52,41,100,3.4,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,46.51,71,40,23.02,scattered clouds
24,Flinders,AU,-34.5833,150.8552,57.38,88,97,4.0,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,76.48,78,94,21.74,overcast clouds
26,Okato,NZ,-39.2,173.8833,63.18,90,98,11.99,overcast clouds
27,Cidreira,BR,-30.1811,-50.2056,67.08,75,0,14.2,clear sky
28,Hithadhoo,MV,-0.6,73.0833,84.38,78,94,20.24,overcast clouds
29,Fortuna,US,40.5982,-124.1573,50.34,89,75,9.22,broken clouds
30,Chuy,UY,-33.6971,-53.4616,64.96,68,5,4.47,clear sky
31,Eyl,SO,7.9803,49.8164,83.79,77,6,11.61,clear sky
32,Jamestown,US,42.097,-79.2353,69.53,20,0,12.66,clear sky
33,Georgetown,MY,5.4112,100.3354,82.33,92,20,3.44,moderate rain
34,Ushuaia,AR,-54.8,-68.3,42.46,75,40,32.21,scattered clouds
35,Kapaa,US,22.0752,-159.319,80.58,78,40,13.8,scattered clouds
36,Bluff,NZ,-46.6,168.3333,49.8,92,98,2.66,moderate rain
37,Koslan,RU,63.4564,48.8989,44.67,95,100,8.37,moderate rain
38,Te Anau,NZ,-45.4167,167.7167,48.43,92,100,0.78,light rain
39,Hilo,US,19.7297,-155.09,91.27,78,75,5.75,light rain
40,Grindavik,IS,63.8424,-22.4338,51.75,100,100,19.57,light intensity drizzle
41,Brae,GB,60.3964,-1.353,48.06,87,100,17.09,overcast clouds
42,Clyde River,CA,70.4692,-68.5914,30.43,74,100,0.0,overcast clouds
43,Loum,CM,4.7182,9.7351,74.57,97,97,0.74,light rain
44,Luderitz,NA,-26.6481,15.1594,62.02,45,75,9.46,broken clouds
45,Ahuimanu,US,21.4447,-157.8378,82.11,68,75,10.36,broken clouds
46,Umm Lajj,SA,25.0213,37.2685,82.0,39,100,7.02,overcast clouds
47,Lagoa,PT,39.05,-27.9833,61.81,80,58,10.2,broken clouds
48,Qaanaaq,GL,77.484,-69.3632,25.79,74,100,1.45,overcast clouds
49,Puerto Escondido,MX,15.85,-97.0667,86.83,70,0,9.22,clear sky
50,Nikolskoye,RU,59.7035,30.7861,41.72,89,84,5.41,broken clouds
51,Basco,PH,20.4487,121.9702,82.74,77,85,14.58,overcast clouds
52,San Jose De Rio Tinto,HN,14.9333,-85.7,99.97,35,25,3.36,scattered clouds
53,Cabo San Lucas,MX,22.8909,-109.9124,90.7,27,40,13.8,scattered clouds
54,Alexandria,EG,31.2156,29.9553,69.76,68,0,11.5,clear sky
55,Vao,NC,-22.6667,167.4833,74.25,60,84,16.98,broken clouds
56,Hermanus,ZA,-34.4187,19.2345,50.81,74,95,4.07,overcast clouds
57,Husavik,IS,66.0449,-17.3389,42.17,91,100,2.57,overcast clouds
58,El Estor,GT,15.5333,-89.35,93.6,51,97,3.18,overcast clouds
59,Rawson,AR,-43.3002,-65.1023,65.41,30,70,20.31,broken clouds
60,Priargunsk,RU,50.3691,119.1012,50.9,22,46,10.18,scattered clouds
61,Puerto Ayora,EC,-0.7393,-90.3518,78.76,77,11,11.21,few clouds
62,Butaritari,KI,3.0707,172.7902,82.06,78,14,15.95,few clouds
63,Albany,US,42.6001,-73.9662,64.92,26,100,1.01,overcast clouds
64,Busselton,AU,-33.65,115.3333,56.07,81,2,2.08,clear sky
65,Yerbogachen,RU,61.2767,108.0108,29.48,91,99,12.39,light snow
66,Papara,BR,-3.9839,-38.7273,80.69,92,100,2.75,light rain
67,Rio Grande,BR,-32.035,-52.0986,71.71,78,1,8.86,clear sky
68,Xam Nua,LA,20.4197,104.0439,66.25,99,96,1.66,overcast clouds
69,Kruisfontein,ZA,-34.0033,24.7314,52.88,68,100,3.94,overcast clouds
70,Mana,GF,5.6592,-53.7767,81.75,74,35,9.55,scattered clouds
71,Provideniya,RU,64.3833,-173.3,32.45,96,84,8.84,light snow
72,Fairbanks,US,64.8378,-147.7164,43.21,64,100,12.66,overcast clouds
73,Nelson Bay,AU,-32.7167,152.15,52.0,89,0,6.67,light rain
74,Necochea,AR,-38.5473,-58.7368,71.55,55,8,15.57,clear sky
75,Zhanaozen,KZ,43.3,52.8,56.84,86,74,13.62,broken clouds
76,Kahului,US,20.8947,-156.47,84.22,51,40,17.27,scattered clouds
77,Dillon,US,34.4166,-79.3712,62.58,64,96,15.12,overcast clouds
78,Constitucion,CL,-35.3333,-72.4167,57.38,80,100,4.07,overcast clouds
79,Statesville,US,35.7826,-80.8873,61.92,63,100,8.05,overcast clouds
80,Kodiak,US,57.79,-152.4072,47.71,43,0,21.85,clear sky
81,Atar,MR,20.5169,-13.0499,96.22,16,98,11.56,overcast clouds
82,Blagoyevo,RU,63.3667,47.9167,39.85,93,100,8.12,overcast clouds
83,Daru,PG,-9.0763,143.2092,80.65,90,77,9.71,broken clouds
84,Thompson,CA,55.7435,-97.8558,60.96,41,40,18.41,scattered clouds
85,Saskylakh,RU,71.9167,114.0833,9.66,94,95,14.03,overcast clouds
86,Iqaluit,CA,63.7506,-68.5145,29.93,58,75,4.61,broken clouds
87,North Bend,US,43.4065,-124.2243,48.24,89,100,6.91,overcast clouds
88,Hobart,AU,-42.8794,147.3294,42.06,90,0,11.5,clear sky
89,Almaznyy,RU,48.0448,40.045,48.7,53,94,4.59,overcast clouds
90,Sesheke,ZM,-17.4759,24.2968,68.45,33,0,1.74,clear sky
